source,target,event_type,status,kind,reason
academic-paper-db,ai-chatbots,query,approved,task_only,Ask chatbot about a research paper
academic-paper-db,email,notification,approved,to_implement,Citation alert for your paper
academic-paper-db,password-managers,credential,approved,to_implement,Store research database login
academic-paper-db,translation,translate,approved,task_only,Translate paper abstract
agency-portals,banking,payment,approved,to_implement,Government fee payment
agency-portals,calendar-todo,booking,approved,to_implement,Government appointment scheduling
agency-portals,map-services,location,approved,to_implement_link,Government office location on map
agency-portals,password-managers,credential,approved,to_implement,Store government portal login
agency-portals,transit-directions,directions,approved,to_implement_link,Get directions to government office
ai-chatbots,cloud-storage-file-transfer,file_created,rejected,rejected,Save conversation transcripts
ai-chatbots,code-editor-execution,code,rejected,rejected,Insert chatbot-generated code into editor
ai-chatbots,documents,file_created,rejected,rejected,Save chatbot response as document
ai-chatbots,email,notification,rejected,rejected,Conversation transcript delivery
ai-chatbots,password-managers,credential,approved,to_implement,Store AI chatbot login
auctions-p2p-marketplaces,banking,purchase,existing,implemented,Already in graph (built-in or custom)
auctions-p2p-marketplaces,email,purchase,existing,implemented,Already in graph (built-in or custom)
auctions-p2p-marketplaces,email,signup,existing,implemented,Already in graph (built-in or custom)
auctions-p2p-marketplaces,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
banking,email,notification,rejected,rejected,Bank transaction alerts and statements
banking,instant-messaging,2fa_code,rejected,rejected,Banking 2FA verification codes
banking,password-managers,credential,approved,to_implement,Store banking login credentials
blogs,email,notification,approved,to_implement,New post from followed blog
blogs,forums,crosspost,approved,task_only,Blog post shared/discussed in forum
blogs,password-managers,credential,approved,to_implement,Store blog platform login
blogs,url-shorteners-qr,shorten,approved,task_only,Shorten blog post URL for sharing
books-comics,banking,purchase,existing,implemented,Already in graph (built-in or custom)
books-comics,email,purchase,existing,implemented,Already in graph (built-in or custom)
books-comics,rating-review,review,rejected,rejected,Book reviews aggregated
brokerage,banking,trade,existing,implemented,Already in graph (built-in or custom)
brokerage,email,notification,rejected,rejected,Trade confirmations and portfolio alerts
brokerage,instant-messaging,notification,approved,to_implement,Price alert triggered via IM
brokerage,password-managers,credential,approved,to_implement,Store brokerage login
business-company,email,inquiry,existing,implemented,Already in graph (built-in or custom)
business-company,email,subscribe,existing,implemented,Already in graph (built-in or custom)
calendar-todo,email,notification,approved,to_implement,Event reminders and schedule updates
calendar-todo,instant-messaging,notification,rejected,rejected,Upcoming meeting reminder via IM
cloud-dev-consoles,banking,payment,approved,to_implement,Cloud service usage billing
cloud-dev-consoles,email,notification,approved,to_implement,Deployment alerts and billing warnings
cloud-dev-consoles,password-managers,credential,approved,to_implement,Store cloud console login
cloud-storage-file-transfer,banking,payment,approved,to_implement,Storage plan upgrade payment
cloud-storage-file-transfer,email,notification,approved,to_implement,File shared with you notification
cloud-storage-file-transfer,password-managers,credential,approved,to_implement,Store cloud storage login
code-editor-execution,banking,payment,rejected,rejected,IDE subscription payment
code-editor-execution,cloud-storage-file-transfer,file_created,rejected,rejected,Save code snippets to cloud storage
code-editor-execution,email,notification,rejected,rejected,Build/run completion notifications
code-editor-execution,password-managers,credential,approved,to_implement,Store code editor login
comparison-aggregators,email,notification,rejected,rejected,Price drop alert for tracked product
comparison-aggregators,password-managers,credential,rejected,rejected,Store comparison site login
conference-review-submission,calendar-todo,deadline,approved,to_implement,Review and submission deadlines
conference-review-submission,cloud-storage-file-transfer,file_created,rejected,rejected,Upload paper submission to storage
conference-review-submission,email,notification,approved,to_implement,Review assignments and decisions
conference-review-submission,password-managers,credential,approved,to_implement,Store conference system login
converters-calculators,password-managers,credential,rejected,rejected,Store converter tool login
course-sites-classrooms,banking,payment,rejected,rejected,Course enrollment fee
course-sites-classrooms,calendar-todo,deadline,approved,to_implement,Assignment due dates
course-sites-classrooms,email,notification,approved,to_implement,Grade posted and assignment reminders
course-sites-classrooms,password-managers,credential,approved,to_implement,Store learning platform login
course-sites-classrooms,rating-review,review,rejected,rejected,Course reviews aggregated
crm,banking,payment,rejected,rejected,CRM subscription payment — tool billing not a benchmark focus
crm,calendar-todo,booking,approved,to_implement,Sales meetings and follow-ups
crm,email,notification,approved,to_implement,CRM deal updates and reminders
